      #(t)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     135     0.0646778      0.091463   0.000593975   0.000771305   2.03942e-14   9.47718e-07    -0.0208348   0.000146782      0.157534     0.0563165     -0.101218     0.0432561
     136      0.063329     0.0895557   0.000572639   0.000752166   1.56329e-14   8.93669e-07    -0.0207224   0.000145851       0.15396     0.0544991    -0.0994607     0.0413166
     137     0.0620092     0.0876895   0.000552069   0.000733585   1.19772e-14   8.42927e-07    -0.0206099   0.000144928      0.150459      0.052727    -0.0977317     0.0394608
     138      0.060718     0.0858636    0.00053224   0.000715545    9.1797e-15   7.95283e-07    -0.0204973   0.000144012       0.14703     0.0509992    -0.0960303     0.0376853
     139      0.059455     0.0840776   0.000513123   0.000698029   7.02009e-15    7.5054e-07    -0.0203847   0.000143103      0.143671     0.0493147    -0.0943567      0.035987
     140     0.0582197     0.0823308   0.000494695   0.000681021   5.36376e-15   7.08513e-07    -0.0202721     0.0001422      0.140383     0.0476726    -0.0927106     0.0343627
     141     0.0570117     0.0806226   0.000476928   0.000664507   4.09079e-15   6.69031e-07    -0.0201595   0.000141305      0.137164     0.0460719    -0.0910918     0.0328094
     142     0.0558306     0.0789524   0.000459801   0.000648472   3.11537e-15   6.31933e-07     -0.020047   0.000140416      0.134012     0.0445115    -0.0895003     0.0313243
     143     0.0546759     0.0773195   0.000443289   0.000632901   2.37587e-15   5.97069e-07    -0.0199345   0.000139533      0.130927     0.0429907    -0.0879359     0.0299046
     144     0.0535472     0.0757234   0.000427371    0.00061778   1.80739e-15   5.64298e-07    -0.0198222   0.000138657      0.127907     0.0415084    -0.0863983     0.0285476
     145      0.052444     0.0741635   0.000412025   0.000603096   1.37759e-15   5.33489e-07      -0.01971   0.000137788      0.124951     0.0400639    -0.0848874     0.0272506
     146      0.051366     0.0726391   0.000397231   0.000588836   1.05338e-15    5.0452e-07     -0.019598   0.000136924      0.122059     0.0386562    -0.0834029     0.0260113
     147     0.0503127     0.0711496   0.000382968   0.000574987   8.16345e-16   4.77274e-07    -0.0194862   0.000136067      0.119229     0.0372845    -0.0819446     0.0248272
     148     0.0492837     0.0696945   0.000369218   0.000561537    6.3116e-16   4.51646e-07    -0.0193747   0.000135216       0.11646      0.035948    -0.0805122      0.023696
     149     0.0482786     0.0682731   0.000355961   0.000548475   4.97327e-16   4.27533e-07    -0.0192634   0.000134371      0.113751     0.0346458    -0.0791055     0.0226154
     150     0.0472969     0.0668849   0.000343181   0.000535788   3.99691e-16   4.04843e-07    -0.0191524   0.000133532      0.111101     0.0333771    -0.0777241     0.0215834
     151     0.0463382     0.0655292   0.000330861   0.000523467   3.37208e-16   3.83486e-07    -0.0190416   0.000132698      0.108509     0.0321413    -0.0763679     0.0205979
     152     0.0454021     0.0642055   0.000318983   0.000511499   2.87969e-16   3.63381e-07    -0.0189312   0.000131871      0.105974     0.0309374    -0.0750364     0.0196568
     153     0.0444882     0.0629131   0.000307531   0.000499875   2.68971e-16   3.44451e-07    -0.0188211   0.000131049      0.103494     0.0297647    -0.0737295     0.0187583
     154     0.0435961     0.0616516   0.000296491   0.000488585   2.53416e-16   3.26622e-07    -0.0187113   0.000130233      0.101069     0.0286226    -0.0724468     0.0179006
     155     0.0427253     0.0604202   0.000285848   0.000477619   2.51207e-16   3.09828e-07    -0.0186019   0.000129422     0.0986983     0.0275103     -0.071188     0.0170818
     156     0.0418756     0.0592185   0.000275586   0.000466967   2.48179e-16   2.94006e-07    -0.0184929   0.000128617     0.0963798     0.0264271    -0.0699527     0.0163004
     157     0.0410463     0.0580458   0.000265694    0.00045662   2.49526e-16   2.79095e-07    -0.0183842   0.000127818      0.094113     0.0253723    -0.0687407     0.0155546
     158     0.0402372     0.0569017   0.000256156    0.00044657   2.37069e-16    2.6504e-07     -0.018276   0.000127023     0.0918969     0.0243453    -0.0675516      0.014843
     159     0.0394479     0.0557855   0.000246961   0.000436807   2.22782e-16    2.5179e-07    -0.0181682   0.000126234     0.0897304     0.0233453    -0.0663851      0.014164
     160      0.038678     0.0546967   0.000238097   0.000427324   2.16835e-16   2.39295e-07    -0.0180607   0.000125451     0.0876126     0.0223718    -0.0652408     0.0135162
     161      0.037927     0.0536348    0.00022955   0.000418112   2.14206e-16   2.27511e-07    -0.0179538   0.000124672     0.0855426     0.0214241    -0.0641185     0.0128982
